Titulo,URL,Descripcion,limpieza,origenes
Sicario: Day of the Soldado,/title/tt5052474/,Action Crime Drama             The drug war on the USMexico border has escalated as the cartels have begun trafficking terrorists across the US border To fight the war federal agent Matt Graver reteams with the mercurial Alejandro,action crime drama drug war usmexico border escalated cartels begun trafficking terrorists across us border fight war federal agent matt graver reteams mercurial alejandro,action crime drama drug war usmexico border escal cartel begun traffick terrorist across us border fight war feder agent matt graver reteam mercuri alejandro
The Ring,/title/tt0298130/,Horror Mystery             A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it,horror mystery journalist must investigate mysterious videotape seems cause death anyone one week day view,horror mysteri journalist must investig mysteri videotap seem caus death anyon one week day view
See How They Run,/title/tt13640696/,Comedy Crime Mystery             In the West End of 1950s London plans for a movie version of a smashhit play come to an abrupt halt after a pivotal member of the crew is murdered,comedy crime mystery west end 1950s london plans movie version smashhit play come abrupt halt pivotal member crew murdered,comedi crime mysteri west end 1950s london plan movi version smashhit play come abrupt halt pivot member crew murder
X-Men: Days of Future Past,/title/tt1877832/,Action Adventure SciFi             The XMen send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants,action adventure scifi xmen send wolverine past desperate effort change history prevent event results doom humans mutants,action adventur scifi xmen send wolverin past desper effort chang histori prevent event result doom human mutant
Gone Baby Gone,/title/tt0452623/,Crime Drama Mystery             Two Boston area detectives investigate a little girls kidnapping which ultimately turns into a crisis both professionally and personally,crime drama mystery two boston area detectives investigate little girls kidnapping ultimately turns crisis professionally personally,crime drama mysteri two boston area detect investig littl girl kidnap ultim turn crisi profession person
Transformers: Revenge of the Fallen,/title/tt1055369/,Action Adventure SciFi             Sam Witwicky leaves the Autobots behind for a normal life But when his mind is filled with cryptic symbols the Decepticons target him and he is dragged back into the Transformers war,action adventure scifi sam witwicky leaves autobots behind normal life mind filled cryptic symbols decepticons target dragged back transformers war,action adventur scifi sam witwicki leav autobot behind normal life mind fill cryptic symbol decepticon target drag back transform war
As Good as It Gets,/title/tt0119822/,Comedy Drama Romance             A single mother and waitress a misanthropic author and a gay artist form an unlikely friendship after the artist is assaulted in a robbery,comedy drama romance single mother waitress misanthropic author gay artist form unlikely friendship artist assaulted robbery,comedi drama romanc singl mother waitress misanthrop author gay artist form unlik friendship artist assault robberi
Senior Year,/title/tt5315212/,Comedy Drama             A cheerleading stunt gone wrong landed her in a 20year coma Now shes 37 newly awake and ready to live out her high school dream becoming prom queen,comedy drama cheerleading stunt gone wrong landed 20year coma shes 37 newly awake ready live high school dream becoming prom queen,comedi drama cheerlead stunt gone wrong land 20year coma shes 37 newli awak readi live high school dream becom prom queen
Bombshell,/title/tt6394270/,Biography Drama             A group of women take on Fox News head Roger Ailes and the toxic atmosphere he presided over at the network,biography drama group women take fox news head roger ailes toxic atmosphere presided network,biographi drama group women take fox news head roger ail toxic atmospher presid network
Superman: Legacy,/title/tt5950044/,Action Adventure Fantasy             It follows Superman as he reconciles his heritage with his human upbringing He is the embodiment of truth justice and the American way in a world that views kindness as oldfashioned,action adventure fantasy follows superman reconciles heritage human upbringing embodiment truth justice american way world views kindness oldfashioned,action adventur fantasi follow superman reconcil heritag human upbring embodi truth justic american way world view kind oldfashion
